nomor_kambing,0bulan,1bulan,2bulan,3bulan,4bulan,5bulan,6bulan,7bulan,8bulan,9bulan,10bulan,11bulan,12bulan
1,3.7,7.30,12.6,19.8,22.1,27.6,29.5,32.3,35.1,37.2,40.4,42.9,45.1
2,2.4,4.50,6.6,8.3,10.2,13.4,15.2,18.5,21.2,23.5,25.1,27.8,29.5
3,3.5,10.2,11.3,16.0,19.5,21.3,24.6,27.9,29.8,33.0,36.1,39.5,41.2
4,3.3,9.00,12.7,18.2,23.7,27.1,29.8,32.3,34.5,36.8,40.0,42.2,44.1
5,3.5,12.4,16.0,23.0,26.3,30.1,33.6,35.8,37.9,41.0,43.2,45.8,48.3
6,4.2,12.2,16.2,23.0,26.9,30.3,33.9,36.5,39.2,42.0,44.5,47.1,49.6
7,4.8,12.2,13.6,18.3,25.4,29.7,32.0,34.9,37.1,39.5,41.8,44.5,47.0
8,4.1,13.2,15.1,15.9,15.8,19.4,21.7,24.5,27.3,30.1,32.8,35.5,38.0
9,4.8,16.1,17.9,22.1,26.7,29.5,32.0,34.9,37.2,40.0,42.5,45.2,48.1
10,3.4,11.1,16.2,22.8,28.6,32.0,35.1,38.2,41.3,43.5,45.9,48.0,50.2
11,3.1,8.00,12.6,17.5,21.5,24.8,27.6,30.2,33.0,35.5,38.0,40.5,43.0
12,3.0,8.40,13.2,18.5,25.4,28.9,31.5,34.0,36.5,39.0,41.5,44.0,46.5
13,3.2,12.4,15.8,20.0,16.3,19.8,23.5,26.5,29.5,32.4,35.5,38.5,41.0
14,2.6,10.9,18.1,22.5,26.0,29.5,33.0,36.2,39.5,42.1,44.8,47.5,50.0
15,3.0,14.0,18.1,13.8,12.5,15.8,19.0,21.5,24.0,27.0,29.0,31.5,34.0
16,2.7,12.0,14.9,18.1,18.0,22.0,25.2,28.1,30.9,33.5,36.0,38.5,41.0
17,3.6,10.5,16.0,15.5,22.9,26.5,29.5,32.5,35.1,38.0,40.8,43.2,45.8
18,2.5,5.80,11.3,10.9,12.2,15.8,19.0,21.5,24.0,27.0,29.0,31.5,34.0
19,2.0,15.5,13.2,15.5,21.3,24.5,27.8,30.1,33.0,35.5,38.0,40.5,43.0
20,1.7,7.00,10.1,10.5,16.8,19.5,23.2,26.5,29.8,32.1,34.5,37.0,39.5
21,3.5,6.90,14.6,20.3,26.7,30.5,34.0,37.5,40.0,42.5,45.0,47.5,50.0
22,4.0,11.9,17.3,24.4,28.8,32.5,36.1,39.5,42.2,44.8,47.5,50.0,52.5
23,3.7,8.1,12.5,16.8,20.6,24.2,28.0,32.2,36.0,39.2,42.5,46.0,49.2
24,2.4,6.3,9.8,12.7,15.8,19.5,21.8,25.2,28.5,32.0,35.2,38.0,41.5
25,3.5,11.4,15.0,19.6,23.5,27.0,30.5,33.8,36.5,39.2,42.0,44.5,47.0
26,3.3,10.2,12.7,18.2,23.7,27.1,29.8,32.3,34.5,36.8,40.0,42.2,44.1
27,3.5,12.4,16.0,23.0,26.3,30.1,33.6,35.8,37.9,41.0,43.2,45.8,48.3
28,4.2,12.2,16.2,23.0,26.9,30.3,33.9,36.5,39.2,42.0,44.5,47.1,49.6
29,4.8,12.2,13.6,18.3,25.4,29.7,32.0,34.9,37.1,39.5,41.8,44.5,47.0
30,4.1,13.2,15.1,15.9,15.8,19.4,21.7,24.5,27.3,30.1,32.8,35.5,38.0
