                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64193,                 1.3713,                  1.219,                0.88815,                0.89692,                0.94442,                0.79182,                0.54203,                 2.7458,                 1.1641,                 0.0003,                 0.0003,                 0.0003
                      2,                 0.6504,                0.89765,                 1.1585,                 0.9293,                0.91702,                0.96569,                0.74983,                0.76504,                 1.5015,                 1.5289,             0.00059545,             0.00059545,             0.00059545
                      3,                0.76497,                0.86513,                 1.2551,                0.67965,                0.82392,                0.82395,                0.56563,                 1.0798,                 2.8956,                 1.7723,             0.00086555,             0.00086555,             0.00086555
                      4,                0.79841,                0.83788,                 1.2517,                0.65244,                 0.7608,                0.72539,                0.44314,                 1.3046,                 2.1831,                  2.118,              0.0011103,              0.0011103,              0.0011103
                      5,                0.79772,                0.79194,                 1.2686,                0.53462,                0.78073,                0.58994,                0.35532,                 1.2591,                 2.8812,                 2.1216,              0.0013297,              0.0013297,              0.0013297
                      6,                0.92075,                0.83721,                 1.3544,                0.65963,                0.68106,                0.72788,                0.47184,                 1.1299,                 1.7277,                 1.8666,              0.0015238,              0.0015238,              0.0015238
                      7,                0.79553,                0.73533,                 1.2543,                0.30667,                0.73754,                0.37067,                0.20184,                 1.4201,                 2.1132,                 1.9884,              0.0015248,              0.0015248,              0.0015248
                      8,                0.85221,                0.81028,                 1.3318,                0.73553,                0.70764,                0.76597,                 0.4438,                 1.5735,                 1.9314,                 2.6024,              0.0015248,              0.0015248,              0.0015248
                      9,                0.78937,                0.73288,                 1.2461,                0.66802,                0.63123,                0.67472,                0.40049,                  1.417,                 2.4258,                 2.0379,              0.0014456,              0.0014456,              0.0014456
                     10,                0.75614,                0.68749,                 1.2348,                0.85498,                0.76744,                0.86685,                0.53659,                 1.2678,                 1.2338,                 1.9597,              0.0013664,              0.0013664,              0.0013664
                     11,                0.71712,                0.62254,                 1.1993,                0.80418,                0.84593,                0.90249,                0.64658,                0.89925,                 1.2987,                 1.4972,              0.0012872,              0.0012872,              0.0012872
                     12,                0.71095,                0.60857,                 1.1997,                0.91051,                0.92027,                0.94832,                0.76474,                0.77498,                0.78539,                 1.3576,               0.001208,               0.001208,               0.001208
                     13,                0.72467,                 0.6223,                 1.2062,                0.96125,                0.90365,                 0.9517,                0.70104,                0.88705,                0.79377,                  1.556,              0.0011288,              0.0011288,              0.0011288
                     14,                0.67865,                0.56907,                 1.1688,                0.95977,                0.93023,                0.97272,                0.82155,                0.62709,                0.62561,                 1.2191,              0.0010496,              0.0010496,              0.0010496
                     15,                0.64632,                0.53894,                 1.1595,                 0.9714,                0.94684,                0.97529,                0.83243,                0.59022,                 0.5386,                 1.2008,              0.0009704,              0.0009704,              0.0009704
                     16,                0.60657,                0.63974,                 1.2014,                0.95395,                0.93688,                0.96859,                0.82495,                0.57393,                0.58895,                 1.1143,              0.0008912,              0.0008912,              0.0008912
                     17,                0.52337,                0.49166,                 1.1085,                0.96593,                0.96013,                0.98305,                0.84261,                 0.6047,                0.53435,                 1.1436,               0.000812,               0.000812,               0.000812
                     18,                0.49483,                0.45449,                 1.0915,                0.95696,                0.96036,                0.98265,                0.84114,                0.58592,                0.51436,                 1.1246,              0.0007328,              0.0007328,              0.0007328
                     19,                0.47633,                0.44209,                 1.0555,                0.97114,                0.96678,                0.98826,                0.88963,                0.48273,                0.42853,                 1.0346,              0.0006536,              0.0006536,              0.0006536
                     20,                0.45421,                 0.4024,                 1.0603,                 0.9698,                0.96011,                0.98972,                0.90347,                0.43307,                0.39058,                0.99078,              0.0005744,              0.0005744,              0.0005744
                     21,                0.40859,                0.36165,                 1.0111,                0.97896,                0.97674,                0.99202,                0.90916,                0.43478,                0.38323,                0.98793,              0.0004952,              0.0004952,              0.0004952
                     22,                0.38783,                0.36464,                 0.9631,                0.97875,                0.96346,                 0.9916,                0.93304,                0.36225,                 0.3492,                 0.9187,               0.000416,               0.000416,               0.000416
                     23,                 0.3963,                0.34822,                0.99296,                0.97935,                0.98339,                0.99374,                0.94361,                0.35503,                 0.3121,                 0.9069,              0.0003368,              0.0003368,              0.0003368
                     24,                0.35939,                0.34005,                0.94249,                0.99185,                0.98671,                0.99457,                0.93813,                 0.3296,                0.29275,                0.88195,              0.0002576,              0.0002576,              0.0002576
                     25,                0.35635,                0.32241,                0.97612,                0.99328,                0.98276,                0.99453,                0.95055,                0.32098,                 0.2849,                 0.8757,              0.0001784,              0.0001784,              0.0001784
