                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59236,                 3.0047,                  1.212,                0.97919,                 0.7549,                0.76385,                0.69035,                0.44597,                 3.2756,                 1.0582,                0.00018,                0.00018,                0.00018
                      2,                0.51755,                 1.4668,                 1.1237,                0.90894,                0.89216,                0.96042,                 0.8436,                0.51632,                 1.8211,                 1.1123,             0.00034238,             0.00034238,             0.00034238
                      3,                0.55234,                  1.063,                 1.1676,                0.92091,                0.91667,                0.95671,                0.73319,                0.77439,                 2.0062,                  1.484,             0.00046516,             0.00046516,             0.00046516
                      4,                0.53836,                0.87364,                 1.1169,                 0.7417,                0.73195,                0.80024,                0.57335,                0.99363,                 2.2867,                 1.7593,             0.00054834,             0.00054834,             0.00054834
                      5,                0.65037,                0.78982,                 1.2098,                0.94224,                0.82843,                0.90398,                0.68069,                0.89803,                 1.1327,                 1.5473,             0.00059192,             0.00059192,             0.00059192
                      6,                0.60826,                0.70015,                 1.1567,                0.89304,                0.68137,                0.80003,                0.54728,                 1.1084,                 1.3487,                 1.8578,              0.0005959,              0.0005959,              0.0005959
                      7,                 0.5715,                0.69245,                 1.1148,                  0.957,                0.76367,                0.87158,                0.62197,                0.94345,                 1.2146,                 1.5839,             0.00056028,             0.00056028,             0.00056028
                      8,                0.58697,                0.67051,                 1.1414,                0.90992,                0.85784,                0.93258,                 0.7867,                0.61425,                0.81343,                 1.1696,             0.00048506,             0.00048506,             0.00048506
                      9,                0.52423,                0.59008,                 1.0687,                0.96235,                0.87718,                 0.9461,                 0.7871,                  0.663,                0.79634,                 1.2688,             0.00037024,             0.00037024,             0.00037024
                     10,                0.47262,                0.54629,                 1.0558,                0.96809,                0.93627,                0.98275,                0.88909,                0.47604,                0.55621,                 1.0189,             0.00021582,             0.00021582,             0.00021582
